date,home_team,away_team,moneyline_home,moneyline_away,spread_home,total,book,source
2025-10-21,Los Angeles Lakers,Golden State Warriors,118,-145,2.5,227.5,betmgm,mgm_kaggle
2025-10-21,Oklahoma City Thunder,Houston Rockets,-250,200,-6.5,225.5,betmgm,mgm_kaggle
2025-10-22,Atlanta Hawks,Toronto Raptors,-220,180,-5.5,237.5,betmgm,mgm_kaggle
2025-10-22,Boston Celtics,Philadelphia 76ers,-210,170,-6.5,230.5,betmgm,mgm_kaggle
2025-10-22,Charlotte Hornets,Brooklyn Nets,-210,170,-5.5,227.5,betmgm,mgm_kaggle
2025-10-22,Chicago Bulls,Detroit Pistons,125,-150,2.5,236.5,betmgm,mgm_kaggle
2025-10-22,Dallas Mavericks,San Antonio Spurs,-160,135,-3.5,224.5,betmgm,mgm_kaggle
2025-10-22,Memphis Grizzlies,New Orleans Pelicans,-175,145,-3.5,236.5,betmgm,mgm_kaggle
2025-10-22,Milwaukee Bucks,Washington Wizards,-450,350,-10.5,227.5,betmgm,mgm_kaggle
2025-10-22,New York Knicks,Cleveland Cavaliers,110,-135,1.5,228.5,betmgm,mgm_kaggle
2025-10-22,Orlando Magic,Miami Heat,-325,260,-8.5,215.5,betmgm,mgm_kaggle
2025-10-22,Phoenix Suns,Sacramento Kings,-160,135,-3.5,228.5,betmgm,mgm_kaggle
2025-10-22,Portland Trail Blazers,Minnesota Timberwolves,165,-200,4.5,223.5,betmgm,mgm_kaggle
2025-10-22,Utah Jazz,Los Angeles Clippers,340,-450,9.5,225.5,betmgm,mgm_kaggle
2025-10-23,Golden State Warriors,Denver Nuggets,-118,-102,-1.5,233.5,betmgm,mgm_kaggle
2025-10-23,Indiana Pacers,Oklahoma City Thunder,240,-300,7.5,231.5,betmgm,mgm_kaggle
2025-10-24,Brooklyn Nets,Cleveland Cavaliers,450,-625,11.5,230.5,betmgm,mgm_kaggle
2025-10-24,Dallas Mavericks,Washington Wizards,-450,340,-8.5,228.5,betmgm,mgm_kaggle
2025-10-24,Houston Rockets,Detroit Pistons,-250,200,-6.5,226.5,betmgm,mgm_kaggle
2025-10-24,Los Angeles Clippers,Phoenix Suns,-450,350,-10.5,223.5,betmgm,mgm_kaggle
2025-10-24,Los Angeles Lakers,Minnesota Timberwolves,105,-125,1.5,225.5,betmgm,mgm_kaggle
2025-10-24,Memphis Grizzlies,Miami Heat,-150,125,-3.5,232.5,betmgm,mgm_kaggle
2025-10-24,New Orleans Pelicans,San Antonio Spurs,145,-175,3.5,233.5,betmgm,mgm_kaggle
2025-10-24,New York Knicks,Boston Celtics,-175,145,-3.5,231.5,betmgm,mgm_kaggle
2025-10-24,Orlando Magic,Atlanta Hawks,-225,185,-5.5,235.5,betmgm,mgm_kaggle
2025-10-24,Portland Trail Blazers,Golden State Warriors,125,-150,2.5,227.5,betmgm,mgm_kaggle
2025-10-24,Sacramento Kings,Utah Jazz,-220,180,-5.5,234.5,betmgm,mgm_kaggle
2025-10-24,Toronto Raptors,Milwaukee Bucks,-135,110,-2.5,235.5,betmgm,mgm_kaggle
2025-10-25,Atlanta Hawks,Oklahoma City Thunder,275,-350,8.5,237.5,betmgm,mgm_kaggle
2025-10-25,Denver Nuggets,Phoenix Suns,-800,550,-12.5,234.5,betmgm,mgm_kaggle
2025-10-25,Memphis Grizzlies,Indiana Pacers,-135,110,-2.5,240.5,betmgm,mgm_kaggle
2025-10-25,Orlando Magic,Chicago Bulls,-250,200,-6.5,232.5,betmgm,mgm_kaggle
2025-10-25,Philadelphia 76ers,Charlotte Hornets,-190,155,-4.5,237.5,betmgm,mgm_kaggle
2025-10-26,Cleveland Cavaliers,Milwaukee Bucks,-250,200,-6.5,234.5,betmgm,mgm_kaggle
